algorithm,iterations,functions
RHC,100,103
RHC,100,103
RHC,100,103
RHC,100,103
RHC,100,103
RHC,100,103
RHC,100,103
RHC,150,153
RHC,150,153
RHC,150,153
RHC,150,153
RHC,150,153
RHC,150,153
RHC,150,153
RHC,150,153
RHC,150,153
RHC,150,153
RHC,200,203
RHC,200,203
RHC,200,203
RHC,200,203
RHC,200,203
RHC,200,203
RHC,200,203
RHC,200,203
RHC,200,203
RHC,200,203
RHC,300,303
RHC,300,303
RHC,300,303
RHC,300,303
RHC,300,303
RHC,300,303
RHC,300,303
RHC,300,303
RHC,300,303
RHC,300,303
RHC,400,403
RHC,400,403
RHC,400,403
RHC,400,403
RHC,400,403
RHC,400,403
RHC,400,403
RHC,400,403
RHC,400,403
RHC,400,403
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,600,603
RHC,600,603
RHC,600,603
RHC,600,603
RHC,600,603
RHC,600,603
RHC,600,603
RHC,600,603
RHC,600,603
RHC,600,603
RHC,700,703
RHC,700,703
RHC,700,703
RHC,700,703
RHC,700,703
RHC,700,703
RHC,700,703
RHC,700,703
RHC,700,703
RHC,700,703
RHC,800,803
RHC,800,803
RHC,800,803
RHC,800,803
RHC,800,803
RHC,800,803
RHC,800,803
RHC,800,803
RHC,800,803
RHC,800,803
RHC,900,903
RHC,900,903
RHC,900,903
RHC,900,903
RHC,900,903
RHC,900,903
RHC,900,903
RHC,900,903
RHC,900,903
RHC,900,903
RHC,1000,1003
RHC,1000,1003
RHC,1000,1003
RHC,1000,1003
RHC,1000,1003
RHC,1000,1003
RHC,1000,1003
RHC,1000,1003
RHC,1000,1003
RHC,1000,1003
SA55,1,4
SA55,1,4
SA55,1,4
SA55,1,4
SA55,1,4
SA55,1,4
SA55,1,4
SA55,1,4
SA55,1,4
SA55,1,4
SA55,50,53
SA55,50,53
SA55,50,53
SA55,50,53
SA55,50,53
SA55,50,53
SA55,50,53
SA55,50,53
SA55,50,53
SA55,50,53
SA55,100,103
SA55,100,103
SA55,100,103
SA55,100,103
SA55,100,103
SA55,100,103
SA55,100,103
SA55,100,103
SA55,100,103
SA55,100,103
SA55,150,153
SA55,150,153
SA55,150,153
SA55,150,153
SA55,150,153
SA55,150,153
SA55,150,153
SA55,150,153
SA55,150,153
SA55,150,153
SA55,200,203
SA55,200,203
SA55,200,203
SA55,200,203
SA55,200,203
SA55,200,203
SA55,200,203
SA55,200,203
SA55,200,203
SA55,200,203
SA55,300,303
SA55,300,303
SA55,300,303
SA55,300,303
SA55,300,303
SA55,300,303
SA55,300,303
SA55,300,303
SA55,300,303
SA55,300,303
SA55,400,403
SA55,400,403
SA55,400,403
SA55,400,403
SA55,400,403
SA55,400,403
SA55,400,403
SA55,400,403
SA55,400,403
SA55,400,403
SA55,500,503
SA55,500,503
SA55,500,503
SA55,500,503
SA55,500,503
SA55,500,503
SA55,500,503
SA55,500,503
SA55,500,503
SA55,500,503
SA55,600,603
SA55,600,603
SA55,600,603
SA55,600,603
SA55,600,603
SA55,600,603
SA55,600,603
SA55,600,603
SA55,600,603
SA55,600,603
SA55,700,703
SA55,700,703
SA55,700,703
SA55,700,703
SA55,700,703
SA55,700,703
SA55,700,703
SA55,700,703
SA55,700,703
SA55,700,703
SA55,800,803
SA55,800,803
SA55,800,803
SA55,800,803
SA55,800,803
SA55,800,803
SA55,800,803
SA55,800,803
SA55,800,803
SA55,800,803
SA55,900,903
SA55,900,903
SA55,900,903
SA55,900,903
SA55,900,903
SA55,900,903
SA55,900,903
SA55,900,903
SA55,900,903
SA55,900,903
SA55,1000,1003
SA55,1000,1003
SA55,1000,1003
SA55,1000,1003
SA55,1000,1003
SA55,1000,1003
SA55,1000,1003
SA55,1000,1003
SA55,1000,1003
SA55,1000,1003
SA75,1,4
SA75,1,4
SA75,1,4
SA75,1,4
SA75,1,4
SA75,1,4
SA75,1,4
SA75,1,4
SA75,1,4
SA75,1,4
SA75,50,53
SA75,50,53
SA75,50,53
SA75,50,53
SA75,50,53
SA75,50,53
SA75,50,53
SA75,50,53
SA75,50,53
SA75,50,53
SA75,100,103
SA75,100,103
SA75,100,103
SA75,100,103
SA75,100,103
SA75,100,103
SA75,100,103
SA75,100,103
SA75,100,103
SA75,100,103
SA75,150,153
SA75,150,153
SA75,150,153
SA75,150,153
SA75,150,153
SA75,150,153
SA75,150,153
SA75,150,153
SA75,150,153
SA75,150,153
SA75,200,203
SA75,200,203
SA75,200,203
SA75,200,203
SA75,200,203
SA75,200,203
