algorithm,value,iterations
SA-Optimal,2.0,100
SA-Optimal,2.0,100
SA-Optimal,3.0,500
SA-Optimal,5.0,100
SA-Optimal,1.0,500
SA-Optimal,0.0,100
SA-Optimal,5.0,500
SA-Optimal,8.0,100
SA-Optimal,0.0,100
SA-Optimal,0.0,100
SA-Optimal,1.0,100
SA-Optimal,3.0,100
SA-Optimal,3.0,50
SA-Optimal,0.0,100
SA-Optimal,1.0,50
SA-Optimal,0.0,50
SA-Optimal,2.0,500
SA-Optimal,3.0,50
SA-Optimal,0.0,50
SA-Optimal,0.0,50
SA-Optimal,0.0,50
SA-Optimal,0.0,50
SA-Optimal,2.0,50
SA-Optimal,3.0,50
SA-Optimal,5.0,200
SA-Optimal,1.0,25
SA-Optimal,4.0,25
SA-Optimal,0.0,25
SA-Optimal,1.0,25
SA-Optimal,0.0,25
SA-Optimal,1.0,25
SA-Optimal,2.0,25
SA-Optimal,2.0,25
SA-Optimal,0.0,50
SA-Optimal,1.0,25
SA-Optimal,0.0,200
SA-Optimal,1.0,25
SA-Optimal,1.0,10
SA-Optimal,2.0,10
SA-Optimal,2.0,10
SA-Optimal,2.0,10
SA-Optimal,4.0,10
SA-Optimal,2.0,10
SA-Optimal,5.0,10
SA-Optimal,3.0,10
SA-Optimal,0.0,200
SA-Optimal,4.0,10
SA-Optimal,0.0,10
SA-Optimal,4.0,50
SA-Optimal,1.0,50
SA-Optimal,2.0,100
SA-Optimal,2.0,10
SA-Optimal,2.0,10
SA-Optimal,1.0,10
SA-Optimal,1.0,25
SA-Optimal,0.0,100
SA-Optimal,2.0,25
SA-Optimal,0.0,25
SA-Optimal,1.0,25
SA-Optimal,4.0,25
SA-Optimal,3.0,25
SA-Optimal,0.0,25
SA-Optimal,3.0,50
SA-Optimal,0.0,50
SA-Optimal,1.0,50
SA-Optimal,3.0,50
SA-Optimal,25.0,50
SA-Optimal,0.0,50
SA-Optimal,7.0,50
SA-Optimal,5.0,50
SA-Optimal,0.0,50
SA-Optimal,1.0,100
SA-Optimal,2.0,50
SA-Optimal,0.0,25
SA-Optimal,1.0,10
SA-Optimal,1.0,10
SA-Optimal,0.0,10
SA-Optimal,1.0,10
SA-Optimal,1.0,10
SA-Optimal,1.0,10
SA-Optimal,2.0,10
SA-Optimal,2.0,200
SA-Optimal,1.0,200
SA-Optimal,1.0,200
SA-Optimal,1.0,25
SA-Optimal,3.0,25
SA-Optimal,4.0,200
SA-Optimal,2.0,100
SA-Optimal,1.0,100
SA-Optimal,1.0,50
SA-Optimal,3.0,50
SA-Optimal,0.0,200
SA-Optimal,0.0,100
SA-Optimal,0.0,200
SA-Optimal,4.0,100
SA-Optimal,4.0,50
SA-Optimal,1.0,100
SA-Optimal,1.0,200
SA-Optimal,3.0,200
